2026.01.10 16:19:05 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:06 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:06 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:06 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:07 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:07 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:09 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:10 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:11 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java
2026.01.10 16:19:11 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:12 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:18 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java
2026.01.10 16:19:18 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:18 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:18 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:18 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:18 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:18 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:18 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:25 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:25 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
2026.01.10 16:19:40 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:40 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:42 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:55 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java
2026.01.10 16:19:55 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:55 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:55 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:58 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java
2026.01.10 16:19:58 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:58 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:58 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:19:58 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:08 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java
2026.01.10 16:20:08 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:08 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:08 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:08 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:27 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java
2026.01.10 16:20:27 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:27 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:27 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:27 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:27 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:49 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:53 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:53 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:55 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:55 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:55 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:55 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:55 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:56 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:20:56 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:21:10 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
2026.01.10 16:21:10 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Operator.java. Using fallback presentation compiler.
